State/UT,Month,2019,2018,2017,2016,2015,percentage2019,percentage2018,percentage2017,percentage2016,percentage2015,Monthly_visitors2019,Monthly_visitors2018,Monthly_visitors2017,Monthly_visitors2016,Monthly_visitors2015
Jharkhand,February,1090516,1049259,931025,848782,761007,0.56,0.61,0.64,0.69,0.72,6106.8896,6400.4799,5958.56,5856.595799999999,5479.250400000001
Jharkhand,March,978236,1021539,885936,809107,729154,0.56,0.61,0.64,0.69,0.72,5478.1216,6231.387900000001,5669.990400000001,5582.838299999999,5249.9088
Jharkhand,April,774651,745033,717899,592004,541551,0.56,0.61,0.64,0.69,0.72,4338.0456,4544.7013,4594.5536,4084.8275999999996,3899.1672
Jharkhand,May,615136,606513,622408,527466,509869,0.56,0.61,0.64,0.69,0.72,3444.7616000000003,3699.7293,3983.4112,3639.5153999999998,3671.0568
Jharkhand,June,726446,683935,663470,546972,512341,0.56,0.61,0.64,0.69,0.72,4068.0976000000005,4172.0035,4246.208,3774.1068,3688.8551999999995
Jharkhand,July,818125,806493,779309,733834,628323,0.56,0.61,0.64,0.69,0.72,4581.500000000001,4919.6073,4987.5776000000005,5063.4546,4523.9256
Jharkhand,August,800837,785993,719129,652111,599478,0.56,0.61,0.64,0.69,0.72,4484.6872,4794.5572999999995,4602.4256,4499.5659,4316.241599999999
Jharkhand,September,751513,719894,719964,608177,542600,0.56,0.61,0.64,0.69,0.72,4208.4728000000005,4391.3534,4607.7696000000005,4196.421299999999,3906.72
Jharkhand,October,945017,890223,866976,741770,683286,0.56,0.61,0.64,0.69,0.72,5292.0952,5430.3603,5548.6464000000005,5118.213,4919.6592
Jharkhand,November,1092440,1012569,997738,878280,815947,0.56,0.61,0.64,0.69,0.72,6117.664000000001,6176.6709,6385.5232000000005,6060.132,5874.8184
Jharkhand,December,1226398,1191498,1167840,1021375,912723,0.56,0.61,0.64,0.69,0.72,6867.828800000001,7268.1378,7474.1759999999995,7047.4875,6571.605599999999
J&K ,January,1111040,1045027,964109,844533,790854,0.18,0.48,0.3,0.26,0.25,1999.8719999999998,5016.129599999999,2892.327,2195.7858,1977.135
J&K ,February,1090516,1049259,931025,848782,761007,0.18,0.48,0.3,0.26,0.25,1962.9288000000001,5036.4432,2793.075,2206.8332,1902.5175
J&K ,March,978236,1021539,885936,809107,729154,0.18,0.48,0.3,0.26,0.25,1760.8247999999999,4903.3872,2657.808,2103.6782000000003,1822.885
J&K ,April,774651,745033,717899,592004,541551,0.18,0.48,0.3,0.26,0.25,1394.3718,3576.1584,2153.6969999999997,1539.2104000000002,1353.8775
J&K ,May,615136,606513,622408,527466,509869,0.18,0.48,0.3,0.26,0.25,1107.2448,2911.2624,1867.224,1371.4116000000001,1274.6725
J&K ,June,726446,683935,663470,546972,512341,0.18,0.48,0.3,0.26,0.25,1307.6028,3282.888,1990.41,1422.1272,1280.8525
J&K ,July,818125,806493,779309,733834,628323,0.18,0.48,0.3,0.26,0.25,1472.625,3871.1664,2337.9269999999997,1907.9684,1570.8075
J&K ,August,800837,785993,719129,652111,599478,0.18,0.48,0.3,0.26,0.25,1441.5066,3772.7664,2157.3869999999997,1695.4886000000001,1498.695
J&K ,September,751513,719894,719964,608177,542600,0.18,0.48,0.3,0.26,0.25,1352.7233999999999,3455.4912,2159.892,1581.2602000000002,1356.5
J&K ,October,945017,890223,866976,741770,683286,0.18,0.48,0.3,0.26,0.25,1701.0306,4273.0704,2600.928,1928.602,1708.215
J&K ,November,1092440,1012569,997738,878280,815947,0.18,0.48,0.3,0.26,0.25,1966.3919999999998,4860.3312,2993.2139999999995,2283.5280000000002,2039.8675
J&K ,December,1226398,1191498,1167840,1021375,912723,0.18,0.48,0.3,0.26,0.25,2207.5164,5719.1903999999995,3503.52,2655.575,2281.8075
Karnataka ,January,1111040,1045027,964109,844533,790854,1.94,1.88,1.85,1.87,2.73,21554.176,19646.507599999997,17836.0165,15792.767100000003,21590.3142
Karnataka ,February,1090516,1049259,931025,848782,761007,1.94,1.88,1.85,1.87,2.73,21156.0104,19726.069199999998,17223.9625,15872.2234,20775.4911
Karnataka ,March,978236,1021539,885936,809107,729154,1.94,1.88,1.85,1.87,2.73,18977.7784,19204.9332,16389.816000000003,15130.3009,19905.9042
Karnataka ,April,774651,745033,717899,592004,541551,1.94,1.88,1.85,1.87,2.73,15028.2294,14006.620399999998,13281.131500000001,11070.4748,14784.3423
Karnataka ,May,615136,606513,622408,527466,509869,1.94,1.88,1.85,1.87,2.73,11933.638399999998,11402.4444,11514.548,9863.6142,13919.4237
Karnataka ,June,726446,683935,663470,546972,512341,1.94,1.88,1.85,1.87,2.73,14093.0524,12857.977999999997,12274.195,10228.376400000001,13986.9093
Karnataka ,July,818125,806493,779309,733834,628323,1.94,1.88,1.85,1.87,2.73,15871.625,15162.068399999998,14417.216500000002,13722.695800000001,17153.2179
