Temperature,Humidity,Wind Speed,Pressure,Precipitation,State,Month,Year,RainFall,Visitors
25.0,53.51612903,12.87096774,29.9683871,0.019354839,dadra-and-nagar-haveli,january,2015,0.1,79.08539999999999
26.57142857,54.17857143,10.03571429,29.91785714,0.053571429,dadra-and-nagar-haveli,february,2015,0.0,76.1007
28.83870968,53.80645161,11.35483871,29.87967742,0.335483871,dadra-and-nagar-haveli,march,2015,4.8,72.9154
30.26666667,67.13333333,10.96666667,29.80633333,0.0,dadra-and-nagar-haveli,april,2015,0.0,54.1551
31.83870968,68.90322581,12.96774194,29.76419355,0.009677419,dadra-and-nagar-haveli,may,2015,0.0,50.986900000000006
29.46666667,79.23333333,17.4,29.645,7.076666667,dadra-and-nagar-haveli,june,2015,372.5,51.2341
28.0,84.83870968,18.87096774,29.68870968,6.677419355,dadra-and-nagar-haveli,july,2015,678.4,62.8323
27.38709677,86.16129032,12.5483871,29.74967742,2.980645161,dadra-and-nagar-haveli,august,2015,307.9,59.9478
27.86666667,80.7,10.16666667,29.78166667,3.05,dadra-and-nagar-haveli,september,2015,308.6,54.26
30.19354839,66.22580645,8.903225806,29.85451613,0.403225806,dadra-and-nagar-haveli,october,2015,18.8,68.32860000000001
29.06666667,58.36666667,10.2,29.88133333,0.41,dadra-and-nagar-haveli,november,2015,0.0,81.5947
26.67741935,48.41935484,12.22580645,29.94580645,0.0,dadra-and-nagar-haveli,december,2015,0.0,91.2723
24.29032258,44.61290323,16.93548387,29.97903226,0.061290323,daman-and-diu,january,2015,0.2,237.2562
26.85714286,44.25,15.03571429,29.92107143,0.0,daman-and-diu,february,2015,0.0,228.3021
29.93548387,40.64516129,16.25806452,29.87516129,0.132258065,daman-and-diu,march,2015,5.8,218.7462
31.93333333,53.36666667,19.6,29.78833333,0.24,daman-and-diu,april,2015,0.0,162.46529999999998
33.67741935,56.32258065,23.29032258,29.73709677,0.0,daman-and-diu,may,2015,0.0,152.9607
30.63333333,72.56666667,23.8,29.596,7.256666667,daman-and-diu,june,2015,223.0,153.7023
28.48387097,79.64516129,29.32258065,29.64322581,3.167741935,daman-and-diu,july,2015,214.5,188.4969
28.03225806,81.12903226,21.67741935,29.71677419,0.332258065,daman-and-diu,august,2015,154.9,179.8434
28.56666667,76.33333333,15.93333333,29.76166667,3.306666667,daman-and-diu,september,2015,290.1,162.78
31.29032258,54.16129032,12.70967742,29.84903226,0.064516129,daman-and-diu,october,2015,0.6,204.9858
29.73333333,46.7,13.4,29.879,0.11,daman-and-diu,november,2015,0.0,244.7841
26.51612903,35.32258065,15.80645161,29.95354839,0.0,daman-and-diu,december,2015,0.0,273.8169
14.64516129,53.61290323,9.419354839,30.06967742,0.009677419,delhi,january,2015,17.7,80667.108
