Temperature,Humidity,Wind Speed,Pressure,Precipitation,State,Month,Year,RainFall
21.1,80.23333333,2.9,29.969,1.283333333,nagaland,november,2015,5.1
17.77419355,77.16129032,3.032258065,30.02516129,0.84516129,nagaland,december,2015,15.9
22.5483871,55.61290323,4.741935484,29.99322581,0.209677419,odisha,january,2015,15.1
27.10714286,46.85714286,4.357142857,29.93464286,0.028571429,odisha,february,2015,3.3
31.0,46.61290323,6.129032258,29.87064516,0.170967742,odisha,march,2015,10.4
35.2,45.33333333,7.466666667,29.74333333,0.54,odisha,april,2015,67.6
37.80645161,47.70967742,7.709677419,29.63354839,0.806451613,odisha,may,2015,32.6
33.43333333,61.63333333,10.13333333,29.551,3.8,odisha,june,2015,238.7
30.64516129,71.74193548,8.838709677,29.56193548,4.170967742,odisha,july,2015,294.8
30.77419355,72.09677419,7.387096774,29.61516129,2.529032258,odisha,august,2015,264.0
30.33333333,71.5,6.733333333,29.69166667,1.933333333,odisha,september,2015,237.0
29.35483871,63.09677419,4.548387097,29.85451613,0.309677419,odisha,october,2015,24.7
25.93333333,62.4,3.633333333,29.929,0.04,odisha,november,2015,6.2
23.64516129,60.4516129,4.967741935,29.98741935,0.467741935,odisha,december,2015,15.6
25.83870968,74.22580645,17.74193548,29.94709677,0.458064516,puducherry,january,2015,16.2
26.42857143,71.92857143,16.60714286,29.92857143,0.067857143,puducherry,february,2015,0.1
